
2025/03/23 (15:07:54) | ===> btop++ v.1.4.0
2025/03/23 (15:07:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:07:57) | ===> btop++ v.1.4.0
2025/03/23 (15:07:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (14:11:30) | ===> btop++ v.1.4.0
2025/03/24 (14:11:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (14:11:35) | ===> btop++ v.1.4.0
2025/03/24 (14:11:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (10:42:08) | ===> btop++ v.1.4.0
2025/03/27 (10:42:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (13:14:31) | ===> btop++ v.1.4.0
2025/03/27 (13:14:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (14:10:41) | ===> btop++ v.1.4.0
2025/04/05 (14:10:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (23:23:06) | ===> btop++ v.1.4.0
2025/04/06 (23:23:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (18:02:35) | ===> btop++ v.1.4.0
2025/04/07 (18:02:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (18:02:52) | ===> btop++ v.1.4.0
2025/04/07 (18:02:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (18:04:01) | ===> btop++ v.1.4.0
2025/04/07 (18:04:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (10:35:58) | ===> btop++ v.1.4.0
2025/04/13 (10:35:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (15:44:27) | ===> btop++ v.1.4.0
2025/04/15 (15:44:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (22:24:07) | ===> btop++ v.1.4.0
2025/04/27 (22:24:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (22:25:30) | ===> btop++ v.1.4.0
2025/04/27 (22:25:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/11 (18:15:51) | ===> btop++ v.1.4.0
2025/05/11 (18:15:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/17 (17:56:23) | ===> btop++ v.1.4.0
2025/05/17 (17:56:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/17 (17:56:25) | WARNING: Failed to join _runner thread on exit!

2025/05/17 (17:56:27) | ===> btop++ v.1.4.0
2025/05/17 (17:56:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/17 (17:56:35) | WARNING: Failed to join _runner thread on exit!

2025/05/17 (20:43:22) | ===> btop++ v.1.4.0
2025/05/17 (20:43:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/23 (14:29:17) | ===> btop++ v.1.4.0
2025/05/23 (14:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/23 (14:29:39) | ===> btop++ v.1.4.0
2025/05/23 (14:29:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/23 (14:29:56) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (14:29:58) | ===> btop++ v.1.4.0
2025/05/23 (14:29:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/23 (14:30:00) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (18:27:42) | ===> btop++ v.1.4.0
2025/05/25 (18:27:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/25 (22:51:14) | ===> btop++ v.1.4.0
